,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
152,McNeese State,28,13,15,.464,-8.39,-7.21,,11,7,,,,,,,,2093,2126,,,105.1,.336,.317,.497,44.2,57.0,16.0,8.2,.470,16.7,30.7,.212
153,Memphis,28,13,15,.464,5.49,5.42,,6,10,,,,,,,,2141,2139,,,98.0,.363,.264,.518,49.2,49.5,12.5,12.8,.480,19.9,35.9,.254
154,Mercer,26,8,18,.308,-17.38,-7.26,,5,11,,,,,,,,1659,1903,,,91.7,.364,.315,.465,47.0,45.7,10.7,6.8,.426,17.5,34.5,.238
155,Miami (FL) NCAA,30,23,7,.767,16.80,9.20,,15,3,,,,,,,,2178,1950,,,99.9,.405,.221,.547,53.2,57.9,11.9,13.2,.510,22.4,39.1,.283
156,Miami (OH) NCAA,32,24,8,.750,11.60,4.41,,15,3,,,,,,,,2163,1933,,,105.9,.333,.335,.546,50.7,50.5,10.5,5.7,.505,16.1,30.5,.255
157,Michigan State NCAA,38,33,5,.868,22.64,10.91,,15,1,,,,,,,,2725,2262,,,111.5,.326,.234,.548,57.2,55.8,12.2,7.5,.514,17.7,45.9,.239
158,Michigan,31,12,19,.387,8.49,11.69,,5,11,,,,,,,,2035,2134,,,99.3,.394,.326,.527,51.1,49.5,8.0,9.2,.478,19.5,34.3,.296
159,Middle Tennessee,31,12,19,.387,-8.81,-4.77,,9,9,,,,,,,,2143,2224,,,100.5,.342,.349,.558,47.5,58.0,13.8,8.5,.525,21.9,34.3,.247
160,Milwaukee,27,8,19,.296,-7.01,0.37,,5,9,,,,,,,,1714,1875,,,95.2,.375,.278,.505,48.3,48.8,9.2,3.9,.463,19.3,31.4,.264
161,Minnesota NCAA,28,17,11,.607,13.53,9.92,,8,8,,,,,,,,1928,1827,,,101.8,.343,.227,.526,52.9,59.8,11.5,15.7,.495,18.4,37.5,.233
162,Mississippi State,33,20,13,.606,8.76,3.25,,8,8,,,,,,,,2279,2129,,,100.3,.341,.314,.517,54.3,52.9,8.8,8.7,.489,19.6,39.6,.222
163,Mississippi Valley State,27,14,13,.519,-13.76,-12.01,,10,6,,,,,,,,1969,2002,,,94.3,.279,.284,.467,48.5,40.7,11.3,14.3,.439,18.9,40.1,.180
164,Mississippi NCAA,33,20,13,.606,14.97,8.30,,8,8,,,,,,,,2540,2214,,,105.4,.430,.311,.542,50.5,59.8,13.5,10.2,.518,17.5,35.6,.270
165,Kansas City,30,8,22,.267,-8.47,-2.77,,3,11,,,,,,,,2129,2264,,,98.9,.405,.248,.521,50.2,57.1,9.1,4.5,.480,18.6,33.0,.284
166,Missouri State NCAA,33,22,11,.667,13.82,6.51,,11,7,,,,,,,,2414,2173,,,104.5,.433,.270,.550,50.1,59.7,12.9,11.2,.509,17.6,31.1,.308
167,Missouri NCAA,29,20,9,.690,12.50,3.99,,11,5,,,,,,,,2081,1834,,,101.1,.388,.284,.527,49.7,55.5,12.4,8.8,.499,17.7,31.5,.251
168,Monmouth,26,5,21,.192,-15.20,-7.72,,5,15,,,,,,,,1632,1821,,,92.4,.352,.272,.514,45.4,55.3,14.6,9.9,.482,21.6,31.1,.234
169,Montana State,29,16,13,.552,0.07,-1.51,,9,7,,,,,,,,2263,2181,,,106.3,.325,.341,.581,50.5,71.0,6.2,5.1,.553,18.4,28.0,.235
170,Montana,27,13,14,.481,-2.95,-2.99,,6,10,,,,,,,,1940,1865,,,102.3,.439,.278,.545,54.1,57.7,9.2,5.9,.504,20.5,37.0,.309
171,Morehead State,28,13,15,.464,-8.74,-5.01,,9,9,,,,,,,,2149,2198,,,102.4,.323,.321,.549,47.7,61.6,12.5,6.5,.517,19.8,34.3,.231
172,Morgan State,28,14,14,.500,-14.69,-9.62,,12,6,,,,,,,,1861,1999,,,92.8,.327,.288,.479,45.3,55.0,10.8,12.4,.452,17.6,32.1,.202
173,Mount St. Mary's NCAA,30,15,15,.500,-7.35,-6.35,,10,10,,,,,,,,2049,2079,,,97.9,.279,.333,.513,46.0,55.6,11.8,9.8,.485,18.1,31.7,.192
174,Murray State NCAA,33,27,6,.818,6.76,-5.24,,16,2,,,,,,,,2590,2215,,,110.1,.344,.266,.543,55.1,52.3,11.7,8.3,.515,17.2,43.0,.234
175,Navy,27,20,7,.741,-0.29,-7.58,,9,3,,,,,,,,1933,1697,,,96.0,.375,.184,.505,56.4,56.5,14.8,13.2,.483,21.5,41.8,.224
176,Nebraska,33,20,13,.606,7.61,5.92,,10,6,,,,,,,,2177,2121,,,94.2,.406,.207,.517,50.6,61.3,15.5,13.2,.485,22.1,34.6,.264
177,Nevada-Las Vegas,29,16,13,.552,8.78,4.53,,9,5,,,,,,,,2163,1997,,,103.6,.381,.320,.535,50.4,64.0,12.6,11.2,.511,17.8,34.4,.242
178,Nevada,26,8,18,.308,-9.78,-1.46,,4,12,,,,,,,,1775,1955,,,94.9,.361,.282,.515,49.1,56.1,9.0,8.3,.489,21.2,33.4,.227
179,New Hampshire,27,4,23,.148,-21.26,-7.37,,2,16,,,,,,,,1733,2108,,,92.8,.298,.405,.502,48.7,57.4,7.2,8.7,.469,21.4,30.6,.208
180,New Mexico State NCAA,33,23,10,.697,2.36,-0.68,,12,4,,,,,,,,2273,2147,,,105.3,.377,.304,.547,51.0,51.0,10.7,7.2,.521,18.1,35.9,.249
181,New Mexico NCAA,34,25,9,.735,7.84,0.62,,9,5,,,,,,,,2556,2305,,,111.0,.371,.350,.570,51.4,54.2,9.7,8.2,.531,16.1,33.8,.279
182,New Orleans,30,14,16,.467,-4.63,-1.50,,5,9,,,,,,,,1824,1918,,,,.349,.302,.501,47.5,55.5,,11.3,.468,20.4,,.234
183,Niagara,29,17,12,.586,-3.89,-4.51,,13,5,,,,,,,,2341,2323,,,104.9,.409,.320,.523,48.7,50.9,11.4,6.9,.476,17.1,38.5,.297
184,Nicholls State,29,14,15,.483,-7.90,-6.10,,12,6,,,,,,,,1958,1964,,,93.6,.392,.253,.492,52.1,59.3,13.0,6.8,.461,20.0,36.4,.244
185,Norfolk State,27,15,12,.556,-10.60,-12.08,,11,7,,,,,,,,2330,2288,,,121.1,.359,.217,.548,52.0,42.6,13.1,9.0,.520,15.9,45.2,.243
186,UNC Asheville,29,11,18,.379,-13.24,-4.74,,5,5,,,,,,,,2144,2314,,,101.5,.437,.231,.556,50.1,63.0,10.7,7.1,.515,22.0,38.0,.313
187,North Carolina A&T,28,13,15,.464,-13.53,-9.72,,9,9,,,,,,,,1902,1971,,,97.4,.431,.266,.503,49.2,43.5,10.1,7.1,.476,19.8,39.0,.260
188,UNC Greensboro,27,7,20,.259,-14.99,-6.02,,5,11,,,,,,,,1755,1998,,,90.7,.363,.216,.500,48.7,56.1,10.2,9.0,.461,22.5,33.3,.251
189,NC State,33,19,14,.576,12.14,6.87,,6,10,,,,,,,,2363,2169,,,103.8,.489,.286,.546,54.5,51.4,11.2,10.3,.507,20.5,41.7,.331
190,UNC Wilmington,28,11,17,.393,-1.81,0.04,,9,7,,,,,,,,1686,1742,,,96.3,.325,.280,.486,50.7,52.1,8.6,7.6,.457,17.2,34.9,.210
191,North Carolina NCAA,34,24,10,.706,16.77,10.24,,10,6,,,,,,,,2428,2206,,,106.8,.391,.250,.556,56.3,62.3,8.4,10.0,.519,19.5,40.9,.281
192,North Texas,26,4,22,.154,-13.58,1.31,,4,12,,,,,,,,1860,2247,,,91.7,.267,.349,.466,45.4,44.1,10.7,5.7,.438,17.7,33.7,.176
193,Northeastern,28,10,18,.357,-13.36,-6.86,,6,12,,,,,,,,1927,2109,,,97.1,.336,.260,.523,46.2,41.7,11.5,9.5,.488,19.1,30.5,.237
194,Northern Arizona,29,21,8,.724,5.19,-3.01,,12,4,,,,,,,,2238,1935,,,112.9,.381,.365,.633,52.9,60.9,8.7,6.6,.604,21.0,31.5,.287
195,Northern Illinois,26,6,20,.231,-6.91,-0.79,,2,16,,,,,,,,1560,1719,,,89.8,.323,.282,.484,49.8,49.3,9.2,5.7,.447,21.0,33.3,.223
196,Northern Iowa,27,9,18,.333,3.68,5.83,,6,12,,,,,,,,1903,1961,,,101.2,.430,.305,.560,46.9,49.6,11.2,3.7,.517,19.8,27.9,.316
197,Northwestern State,26,11,15,.423,-12.80,-7.76,,8,10,,,,,,,,1770,1810,,,91.7,.324,.254,.483,49.1,59.3,13.7,4.3,.447,20.8,36.8,.220
198,Northwestern,29,15,14,.517,10.81,9.09,,6,10,,,,,,,,1741,1655,,,96.9,.397,.396,.541,50.4,76.2,7.3,10.1,.506,21.3,28.3,.275
199,Notre Dame,30,14,16,.467,5.18,6.97,,8,10,,,,,,,,2168,2226,,,98.2,.414,.231,.547,51.0,66.0,10.0,7.2,.511,22.2,34.6,.288
200,Ohio State NCAA,36,27,9,.750,19.03,9.51,,12,4,,,,,,,,2695,2334,,,106.6,.392,.290,.539,51.3,50.5,11.7,11.5,.519,16.9,37.6,.240
201,Ohio,28,18,10,.643,9.11,2.45,,12,6,,,,,,,,2127,1897,,,106.3,.467,.303,.556,54.5,61.2,10.7,9.0,.519,19.8,39.3,.322
202,Oklahoma State NCAA,34,23,11,.676,12.61,5.95,,10,6,,,,,,,,2431,2145,,,105.9,.369,.335,.539,50.1,67.9,11.4,7.4,.504,16.6,34.6,.259
203,Oklahoma NCAA,33,22,11,.667,13.28,4.97,,11,5,,,,,,,,2246,1980,,,102.8,.350,.383,.522,52.0,57.7,10.5,10.1,.495,17.7,35.6,.228
204,Old Dominion,34,25,9,.735,4.54,-1.62,,11,5,,,,,,,,2431,2200,,,101.3,.371,.319,.540,52.4,62.0,10.4,16.0,.505,19.4,35.8,.258
205,Oral Roberts,28,17,11,.607,0.45,-2.86,,10,4,,,,,,,,2166,2063,,,107.3,.362,.324,.569,49.3,58.4,10.9,5.6,.543,18.6,32.6,.247
206,Oregon State,27,13,14,.481,5.80,7.16,,7,11,,,,,,,,1747,1744,,,95.6,.396,.321,.513,50.9,54.9,9.5,9.8,.487,20.0,32.8,.244
207,Oregon,32,19,13,.594,11.35,8.86,,8,10,,,,,,,,2415,2318,,,101.5,.377,.351,.537,53.6,62.7,8.2,8.4,.504,19.5,36.0,.259
208,Pacific,27,14,13,.519,-3.47,-3.47,,9,7,,,,,,,,1850,1762,,,106.6,.358,.418,.556,53.0,66.6,7.0,6.1,.520,19.0,35.7,.262
209,Penn State,27,13,14,.481,11.15,8.59,,5,11,,,,,,,,1870,1801,,,103.5,.344,.385,.553,48.7,64.3,9.7,11.3,.514,18.7,31.7,.257
210,Pennsylvania NCAA,27,21,6,.778,6.28,-4.13,,13,1,,,,,,,,1921,1640,,,109.2,.351,.360,.561,53.6,59.8,8.5,8.2,.540,17.0,33.4,.228
211,Pepperdine,32,19,13,.594,3.16,1.86,,9,5,,,,,,,,2101,2023,,,95.2,.384,.251,.523,51.2,57.2,9.7,9.6,.492,21.3,32.7,.251
212,Pittsburgh,30,14,16,.467,4.06,7.23,,5,13,,,,,,,,2017,2112,,,94.1,.268,.284,.491,48.7,53.4,15.8,10.1,.460,19.3,35.7,.188
213,Portland State,28,17,11,.607,-0.93,-2.85,,9,7,,,,,,,,2216,2075,,,109.1,.394,.409,.560,51.6,64.4,8.3,4.5,.523,15.8,32.3,.283
214,Portland,27,9,18,.333,-5.61,0.31,,3,11,,,,,,,,1820,1878,,,95.5,.368,.266,.508,46.4,56.7,14.0,8.7,.476,19.8,33.1,.242
215,Prairie View,27,6,21,.222,-25.39,-9.16,,4,12,,,,,,,,1974,2296,,,88.4,.356,.317,.451,47.9,42.2,12.1,7.8,.427,20.4,40.0,.202
216,Princeton,30,22,8,.733,4.30,-4.24,,11,3,,,,,,,,1858,1581,,,108.0,.320,.479,.570,50.9,69.4,14.6,11.6,.539,18.2,32.3,.237
217,Providence,30,16,14,.533,8.28,8.31,,9,9,,,,,,,,2284,2285,,,99.6,.367,.285,.504,47.5,59.6,14.7,5.0,.462,17.3,37.1,.261
218,Purdue NCAA,34,21,13,.618,13.23,10.44,,7,9,,,,,,,,2328,2233,,,101.6,.418,.311,.524,49.7,59.3,12.0,8.3,.488,18.7,37.3,.280
219,Quinnipiac,27,9,18,.333,-17.40,-7.44,,6,14,,,,,,,,1837,2067,,,91.6,.419,.278,.522,47.5,59.3,9.1,4.7,.483,23.3,31.0,.285
220,Radford,28,20,8,.714,-6.37,-9.24,,8,2,,,,,,,,2195,2012,,,105.2,.419,.374,.550,49.2,57.5,16.3,7.6,.516,18.3,34.9,.287
221,Rhode Island NCAA,33,20,13,.606,9.56,5.62,,10,6,,,,,,,,2377,2245,,,104.7,.382,.199,.526,53.5,53.1,8.5,11.0,.495,17.9,41.4,.254
222,Rice,28,18,10,.643,6.81,1.73,,8,6,,,,,,,,1911,1737,,,100.6,.465,.340,.531,50.6,58.2,10.0,7.3,.495,18.5,32.0,.305
223,Richmond,27,15,12,.556,-2.29,-3.43,,10,6,,,,,,,,1816,1785,,,103.2,.339,.324,.540,48.6,53.6,8.7,10.0,.506,17.8,31.7,.244
224,Rider,28,12,16,.429,-3.93,-4.93,,7,11,,,,,,,,2053,2025,,,102.7,.434,.307,.552,51.2,62.3,10.8,7.2,.514,20.4,36.7,.302
225,Robert Morris,27,15,12,.556,-6.63,-8.24,,12,8,,,,,,,,1951,1870,,,97.6,.388,.277,.539,51.3,56.4,10.8,3.8,.490,21.2,31.9,.296
226,Rutgers,32,19,13,.594,12.22,7.22,,9,9,,,,,,,,2248,2088,,,,.486,.330,.549,49.7,63.0,,6.6,.505,,32.9,.343
227,Sacramento State,26,3,23,.115,-18.42,-0.69,,3,13,,,,,,,,1568,2029,,,84.3,.222,.349,.452,44.0,55.7,10.7,9.9,.438,20.3,29.2,.123
228,Saint Francis (PA),26,9,17,.346,-12.80,-8.30,,7,13,,,,,,,,1751,1868,,,94.9,.359,.312,.507,47.1,56.6,11.9,6.5,.481,20.3,33.5,.225
229,Saint Joseph's,30,12,18,.400,2.19,5.05,,5,11,,,,,,,,1981,2028,,,,.379,.269,.477,47.5,56.6,,10.3,.444,,33.7,.239
230,Saint Louis,31,15,16,.484,8.90,7.32,,8,8,,,,,,,,2024,1975,,,97.1,.360,.319,.513,48.8,60.4,12.5,6.8,.478,19.9,35.5,.246
231,Saint Mary's (CA),31,13,18,.419,-2.50,0.20,,5,9,,,,,,,,2108,2182,,,,.346,.424,.521,50.0,62.1,,3.8,.485,,32.8,.242
232,Saint Peter's,29,14,15,.483,-6.38,-5.04,,10,8,,,,,,,,2021,2060,,,97.7,.356,.162,.507,52.0,59.1,12.4,9.3,.474,19.2,38.5,.237
233,Sam Houston State,26,10,16,.385,-12.87,-5.95,,7,11,,,,,,,,1832,1990,,,94.0,.346,.319,.513,46.5,59.4,9.7,5.0,.475,20.3,29.7,.244
234,Samford NCAA,30,24,6,.800,0.26,-9.07,,15,1,,,,,,,,2188,1881,,,110.1,.442,.512,.608,47.7,66.1,11.8,8.3,.584,19.4,28.3,.304
235,San Diego State,26,4,22,.154,-11.91,2.01,,2,12,,,,,,,,1745,2039,,,90.6,.419,.292,.486,44.8,54.1,10.7,5.3,.454,20.1,32.0,.256
236,San Diego,27,18,9,.667,3.45,-0.87,,9,5,,,,,,,,1823,1677,,,103.8,.448,.320,.568,54.3,62.2,8.1,5.3,.525,20.2,33.7,.327
237,San Francisco,30,12,18,.400,-2.94,2.37,,4,10,,,,,,,,1905,2043,,,93.1,.405,.323,.490,51.6,56.5,10.9,9.2,.449,20.9,37.7,.271
238,San Jose State,28,12,16,.429,-0.10,0.61,,5,9,,,,,,,,1827,1805,,,97.4,.391,.243,.512,51.7,60.0,10.5,5.7,.484,19.1,35.5,.247
239,Santa Clara,29,14,15,.483,-1.72,1.60,,8,6,,,,,,,,1886,1982,,,98.2,.431,.272,.517,49.6,55.4,7.0,6.2,.470,18.5,32.5,.307
240,Seton Hall,30,15,15,.500,9.41,8.03,,8,10,,,,,,,,2029,1927,,,100.6,.345,.296,.508,50.4,59.9,11.2,10.5,.466,18.2,36.1,.252
241,Siena NCAA,31,25,6,.806,2.04,-4.90,,13,5,,,,,,,,2686,2475,,,106.6,.434,.337,.566,50.4,56.0,12.7,8.6,.512,19.8,37.5,.342
242,South Alabama,27,11,16,.407,-4.23,0.85,,6,8,,,,,,,,1611,1728,,,91.6,.389,.218,.505,52.9,68.9,10.7,3.4,.475,22.7,35.4,.246
243,South Carolina State,29,17,12,.586,-11.73,-9.32,,14,4,,,,,,,,1905,1972,,,98.3,.380,.305,.482,53.3,50.1,9.1,12.1,.445,19.0,45.8,.248
244,South Carolina,29,8,21,.276,0.66,8.21,,3,13,,,,,,,,1745,1964,,,92.0,.318,.322,.485,49.8,53.5,10.1,8.3,.452,20.7,36.1,.213
245,South Florida,28,14,14,.500,8.08,4.15,,6,10,,,,,,,,2006,1896,,,,.380,.254,.495,50.1,56.7,,9.7,.473,,34.3,.224
246,Southeast Missouri State,29,20,9,.690,0.99,-4.49,,15,3,,,,,,,,2044,1834,,,103.3,.383,.308,.542,53.5,55.4,9.3,10.6,.503,19.3,36.0,.277
247,Southeastern Louisiana,26,6,20,.231,-21.98,-6.56,,3,15,,,,,,,,1825,2158,,,87.4,.352,.311,.489,48.8,49.9,8.7,7.0,.459,22.6,31.5,.223
248,Southern California,28,15,13,.536,11.28,7.64,,7,11,,,,,,,,2123,2021,,,100.0,.369,.310,.529,49.5,58.1,12.4,10.5,.494,18.9,33.3,.256
249,Southern Illinois,27,15,12,.556,7.33,5.44,,10,8,,,,,,,,1746,1695,,,95.5,.325,.421,.496,51.3,67.1,11.0,5.9,.470,19.9,35.9,.204
250,Southern Methodist,30,15,15,.500,2.06,2.74,,7,7,,,,,,,,2236,2232,,,101.2,.372,.320,.482,51.2,45.1,11.2,10.8,.448,15.4,37.8,.239
251,Southern Mississippi,30,14,16,.467,4.31,3.11,,6,10,,,,,,,,1871,1835,,,97.1,.409,.261,.512,50.2,56.3,10.5,8.0,.466,19.1,34.4,.291
252,Southern Utah,30,13,17,.433,-7.62,-3.12,,6,8,,,,,,,,2193,2264,,,102.9,.386,.339,.548,48.7,59.3,10.3,10.4,.512,18.2,31.9,.273
253,Southern,28,21,7,.750,-7.15,-13.86,,13,3,,,,,,,,2372,2191,,,104.4,.422,.232,.527,50.8,47.5,14.3,8.5,.488,17.5,40.3,.289
254,St. Bonaventure,29,14,15,.483,0.96,1.99,,8,8,,,,,,,,1860,1890,,,93.1,.330,.294,.480,49.0,48.2,14.2,12.6,.446,19.8,36.3,.218
255,St. Francis (NY),28,20,8,.714,-3.68,-7.64,,16,4,,,,,,,,2246,2125,,,102.9,.411,.381,.542,47.4,59.3,14.4,6.8,.510,18.5,33.2,.277
256,St. John's (NY) NCAA,37,28,9,.757,22.69,9.07,,14,4,,,,,,,,2924,2420,,,111.2,.351,.271,.537,54.1,57.7,13.9,7.9,.507,15.5,42.0,.239
257,Stanford NCAA,33,26,7,.788,22.23,10.36,,15,3,,,,,,,,2425,2006,,,108.9,.487,.308,.538,55.9,64.3,8.4,7.3,.491,16.2,40.2,.344
258,Stephen F. Austin,26,4,22,.154,-16.59,-6.19,,2,16,,,,,,,,1794,2036,,,89.5,.308,.239,.490,47.2,62.6,12.0,5.7,.463,20.6,30.6,.197
259,Stetson,27,14,13,.519,-8.14,-9.59,,10,6,,,,,,,,1860,1778,,,102.9,.380,.198,.519,56.3,55.0,10.7,6.7,.479,18.6,43.0,.267
260,Syracuse NCAA,33,21,12,.636,15.84,7.63,,10,8,,,,,,,,2387,2086,,,101.8,.342,.301,.523,52.9,61.2,14.0,16.5,.495,19.2,39.8,.227
261,Temple NCAA,35,24,11,.686,17.06,8.97,,13,3,,,,,,,,2331,2048,,,107.1,.356,.370,.502,50.7,54.4,16.0,12.8,.471,13.9,39.1,.233
262,Tennessee-Martin,26,8,18,.308,-13.96,-3.35,,5,13,,,,,,,,1666,1864,,,96.6,.282,.403,.571,44.7,68.0,11.5,7.6,.544,23.7,25.2,.208
263,Tennessee State,27,12,15,.444,-10.32,-5.19,,9,9,,,,,,,,1918,1986,,,100.1,.316,.307,.491,52.6,49.4,10.1,7.4,.461,17.3,40.5,.207
264,Tennessee Tech,27,12,15,.444,-10.09,-5.13,,8,10,,,,,,,,1814,1874,,,97.6,.398,.388,.522,49.5,54.4,9.6,5.8,.477,19.5,32.2,.287
265,Tennessee NCAA,30,21,9,.700,14.18,6.55,,12,4,,,,,,,,2178,1949,,71.1,101.6,.452,.356,.526,50.2,56.9,12.2,15.2,.482,18.9,36.3,.315
266,Texas A&M,27,12,15,.444,-0.73,3.05,,5,11,,,,,,,,1871,1973,,,95.3,.438,.344,.510,49.4,61.0,11.1,7.0,.465,20.8,34.2,.302
267,UT Arlington,26,10,16,.385,-11.24,-7.49,,8,10,,,,,,,,1850,1931,,,97.7,.346,.284,.511,49.0,59.7,12.1,4.8,.475,19.1,34.4,.240
268,TCU,32,21,11,.656,10.00,4.90,,7,7,,,,,,,,2776,2593,,,111.8,.382,.287,.573,50.6,64.6,10.0,9.1,.546,16.8,36.4,.261
269,UTEP,28,16,12,.571,4.27,1.23,,8,6,,,,,,,,1934,1831,,,83.0,.513,.318,.556,51.9,57.6,7.2,7.4,.510,33.5,33.3,.362
270,Texas-Rio Grande Valley,27,5,22,.185,-8.07,0.67,,,,,,,,,,,1988,2224,,,94.6,.222,.360,.502,44.9,51.5,12.9,4.0,.480,19.2,31.6,.150
271,UTSA NCAA,29,18,11,.621,-6.27,-6.83,,12,6,,,,,,,,2247,2188,,,103.9,.424,.335,.551,48.8,58.3,10.8,9.8,.532,19.1,33.3,.261
272,Texas Southern,27,8,19,.296,-18.13,-9.22,,6,10,,,,,,,,1748,1918,,,91.0,.397,.272,.492,48.3,51.5,12.3,4.7,.448,20.8,32.2,.274
273,Texas State,28,19,9,.679,-2.90,-8.01,,13,5,,,,,,,,1991,1767,,,101.3,.392,.249,.507,54.4,49.7,11.1,7.1,.470,17.2,38.0,.263
274,Texas Tech,30,13,17,.433,-0.24,3.16,,5,11,,,,,,,,2109,2211,,,96.0,.425,.281,.542,50.2,59.3,9.3,8.4,.506,23.0,33.5,.292
275,Texas NCAA,32,19,13,.594,10.89,7.20,,13,3,,,,,,,,2189,2076,,,99.1,.471,.268,.507,53.0,49.3,11.8,12.9,.468,19.3,39.2,.306
276,Toledo,28,19,9,.679,8.38,3.02,,11,7,,,,,,,,1983,1774,,,101.4,.462,.307,.545,51.7,51.8,12.8,4.8,.504,19.5,34.1,.319
277,Towson,28,6,22,.214,-14.94,-5.15,,4,14,,,,,,,,1663,1937,,,90.2,.323,.293,.489,48.1,59.1,11.3,6.3,.453,20.9,32.3,.222
278,Troy,27,9,18,.333,-16.23,-8.43,,6,10,,,,,,,,2051,2230,,,100.3,.340,.417,.514,44.3,48.2,10.4,3.5,.475,15.7,29.4,.245
279,Tulane,27,12,15,.444,1.91,2.99,,6,10,,,,,,,,1906,1935,,,97.7,.413,.262,.504,49.4,51.9,14.3,7.6,.470,19.8,38.8,.266
280,Tulsa NCAA,33,23,10,.697,10.74,4.46,,9,5,,,,,,,,2319,2102,,,98.9,.463,.355,.533,52.2,59.5,12.4,14.9,.497,21.4,36.5,.305
281,UCLA NCAA,31,22,9,.710,15.28,8.86,,12,6,,,,,,,,2392,2191,,,101.5,.365,.251,.515,51.1,54.2,13.1,10.0,.495,18.5,39.1,.218
282,Utah State,28,15,13,.536,0.15,-2.29,,8,8,,,,,,,,2006,1903,,,104.0,.379,.264,.548,53.9,52.8,8.6,6.3,.523,19.5,38.4,.247
283,Utah NCAA,33,28,5,.848,17.83,3.17,,14,0,,,,,,,,2352,1827,,,113.8,.327,.340,.563,56.4,61.1,11.5,10.6,.536,15.7,39.0,.229
284,Valparaiso NCAA,32,23,9,.719,4.40,-3.64,,10,4,,,,,,,,2326,2046,,,107.9,.356,.347,.560,55.2,62.9,9.5,12.5,.529,19.4,39.4,.252
285,Vanderbilt,29,14,15,.483,5.89,6.82,,5,11,,,,,,,,2091,2075,,,100.5,.345,.391,.521,50.8,55.9,12.4,5.7,.486,19.1,36.3,.241
286,Vermont,27,11,16,.407,-10.68,-8.46,,7,11,,,,,,,,1764,1824,,,94.5,.340,.292,.468,49.0,51.4,9.9,8.6,.431,16.1,34.5,.226
287,Villanova NCAA,32,21,11,.656,12.01,7.88,,10,8,,,,,,,,2399,2262,,,106.4,.371,.333,.546,51.0,58.0,10.3,10.9,.507,18.3,37.6,.272
288,Virginia Commonwealth,31,15,16,.484,-2.01,-2.24,,8,8,,,,,,,,2221,2214,,,99.8,.326,.352,.508,50.9,52.2,10.4,11.0,.477,18.5,37.7,.220
289,VMI,27,12,15,.444,-13.97,-4.79,,9,7,,,,,,,,1897,2020,,,91.2,.363,.298,.491,44.2,54.6,14.3,6.4,.452,19.3,29.6,.246
290,Virginia Tech,28,13,15,.464,0.77,1.52,,7,9,,,,,,,,1829,1850,,,97.5,.343,.279,.505,50.3,50.5,9.2,14.7,.478,19.8,38.3,.217
291,Virginia,30,14,16,.467,6.98,9.12,,4,12,,,,,,,,2183,2210,,,100.4,.379,.362,.525,45.3,55.2,11.8,11.9,.481,18.1,31.6,.278
292,Wagner,27,9,18,.333,-12.15,-7.23,,7,13,,,,,,,,1805,1928,,,93.0,.438,.287,.505,50.2,66.4,11.7,11.6,.471,22.6,35.8,.279
293,Wake Forest,31,17,14,.548,9.79,8.11,,7,9,,,,,,,,2066,2014,,,100.1,.408,.342,.533,49.8,50.8,9.2,6.0,.490,19.0,31.6,.294
294,Washington State,29,10,19,.345,2.96,8.82,,4,14,,,,,,,,2116,2274,,,97.3,.457,.332,.529,46.0,47.0,10.9,6.3,.482,20.2,31.3,.324
295,Washington NCAA,29,17,12,.586,11.64,10.04,,10,8,,,,,,,,2152,2073,,,102.0,.489,.260,.556,50.8,59.4,8.9,6.7,.522,19.6,32.2,.326
296,Weber State NCAA,33,25,8,.758,5.29,0.19,,13,3,,,,,,,,2611,2409,,,109.7,.362,.283,.563,52.7,55.4,13.1,7.2,.532,17.5,37.7,.256
297,West Virginia,29,10,19,.345,2.98,8.55,,4,14,,,,,,,,1934,2063,,,96.8,.324,.258,.500,50.1,57.5,13.0,12.0,.473,20.2,39.6,.207
298,Western Carolina,29,8,21,.276,-22.01,-2.25,,2,14,,,,,,,,1854,2292,,,86.9,.366,.358,.485,45.4,56.3,9.6,5.0,.452,21.5,27.2,.235
299,Western Illinois,28,16,12,.571,-3.80,-3.72,,9,5,,,,,,,,2025,2019,,,104.7,.412,.319,.549,50.6,63.9,8.8,5.8,.520,19.4,36.4,.273
300,Western Kentucky,29,13,16,.448,-1.37,1.06,,7,7,,,,,,,,1862,1927,,,94.7,.383,.320,.522,49.0,51.7,10.9,4.3,.481,21.0,31.9,.272
301,Western Michigan,26,11,15,.423,-1.30,3.70,,6,12,,,,,,,,1823,1924,,,98.0,.393,.290,.532,49.3,53.2,11.0,5.8,.480,20.3,33.7,.301
302,Wichita State,30,13,17,.433,1.46,3.32,,6,12,,,,,,,,2092,2117,,,101.8,.398,.357,.552,52.4,64.7,10.2,7.2,.519,21.6,36.6,.274
303,William & Mary,27,8,19,.296,-10.41,-3.57,,3,13,,,,,,,,1742,1852,,,93.1,.272,.355,.500,46.1,52.6,9.8,8.2,.475,19.6,29.3,.180
304,Winthrop NCAA,29,21,8,.724,-6.67,-8.71,,9,1,,,,,,,,1995,1832,,,102.0,.444,.360,.529,51.4,61.5,11.0,7.7,.495,18.9,35.5,.291
