,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,10,16,.385,-5.45,2.64,,2,12,,,,,,,,1773,1813,,68.2,100.1,.379,.359,.526,49.3,59.0,8.9,8.8,.497,18.0,31.3,.247
2,Akron,27,17,10,.630,5.57,-0.66,,13,5,,,,,,,,2034,1825,,,105.1,.432,.225,.545,50.9,53.5,13.2,8.4,.507,17.1,34.8,.300
3,UAB,33,21,12,.636,6.88,4.66,,10,6,,,,,,,,2482,2381,,,101.6,.440,.261,.528,51.4,52.8,10.4,7.1,.490,19.5,37.7,.297
4,Alabama State,28,11,17,.393,-16.77,-10.27,,6,10,,,,,,,,1914,2065,,,92.4,.468,.238,.519,51.2,37.9,11.8,5.0,.488,23.9,38.5,.294
5,Alabama,31,15,16,.484,7.74,6.47,,6,10,,,,,,,,2168,2139,,,98.6,.281,.294,.490,50.1,43.6,10.0,12.3,.457,17.6,39.9,.197
6,Alcorn State,27,12,15,.444,-12.49,-8.28,,8,8,,,,,,,,1996,2040,,,99.1,.366,.248,.518,50.3,50.5,11.0,7.5,.495,19.8,37.5,.225
7,American,28,9,19,.321,-4.91,-0.50,,5,11,,,,,,,,1725,1834,,66.0,93.3,.362,.312,.495,50.9,47.6,11.0,9.2,.455,21.3,36.1,.249
8,Appalachian State,29,21,8,.724,-3.09,-5.82,,13,2,,,,,,,,2089,1917,,,102.0,.444,.278,.524,49.5,55.6,10.9,9.0,.493,17.8,34.7,.284
9,Arizona State,32,18,14,.563,7.92,7.98,,8,10,,,,,,,,2703,2688,,,104.5,.312,.226,.556,46.8,62.7,11.2,7.1,.522,18.1,32.0,.233
10,Arizona NCAA,35,30,5,.857,24.56,8.36,,17,1,,,,,,,,3177,2610,,,115.6,.366,.304,.576,51.8,59.1,12.8,7.2,.545,15.4,39.1,.262
11,Little Rock,28,15,13,.536,-5.39,-2.80,,10,8,,,,,,,,1887,1931,,,99.1,.384,.265,.521,48.9,59.0,7.9,7.9,.492,17.7,31.8,.247
12,Arkansas-Pine Bluff,27,4,23,.148,,,,3,13,,,,,,,,,2105,,,,,,,,,,,,,35.7,
13,Arkansas State,29,20,9,.690,1.22,-3.09,,14,4,,,,,,,,2170,2045,,,105.2,.365,.319,.557,47.7,59.1,9.6,9.2,.525,18.3,31.9,.257
14,Arkansas NCAA,33,24,9,.727,16.17,5.79,,11,5,,,,,,,,2716,2389,,78.7,104.2,.357,.304,.526,49.6,53.5,13.7,11.4,.499,17.5,38.8,.231
15,Army,27,8,19,.296,-20.38,-8.19,,2,10,,,,,,,,1730,2028,,,90.0,.388,.336,.507,45.9,54.6,10.3,4.9,.469,22.0,29.5,.262
16,Auburn,30,16,14,.533,7.44,5.94,,7,9,,,,,,,,2068,2019,,,98.3,.337,.344,.505,52.9,50.1,10.2,13.1,.477,19.4,39.6,.218
17,Austin Peay,28,17,11,.607,-4.73,-7.23,,11,7,,,,,,,,2013,1889,,70.3,101.9,.316,.328,.520,51.2,57.5,13.6,11.7,.495,18.4,37.3,.206
18,Ball State,29,21,8,.724,7.46,0.68,,14,4,,,,,,,,2274,2005,,,105.2,.378,.213,.531,49.4,50.0,16.1,6.3,.502,16.8,37.1,.250
19,Baylor,28,14,14,.500,3.19,4.90,,8,8,,,,,,,,1970,2018,,,96.6,.398,.399,.509,50.1,58.3,9.3,10.4,.482,19.0,33.6,.246
20,Bethune-Cookman,27,1,26,.037,-27.28,-8.94,,1,17,,,,,,,,1644,2139,,,77.5,.408,.270,.442,45.2,40.7,11.9,6.7,.412,25.3,34.1,.232
21,Boise State,30,17,13,.567,2.47,-0.53,,9,7,,,,,,,,2171,2072,,,103.0,.418,.352,.569,45.5,59.1,13.7,8.0,.532,20.4,31.8,.300
22,Boston College,31,15,16,.484,5.14,6.47,,6,12,,,,,,,,2167,2198,,,99.9,.364,.292,.526,49.2,51.3,11.0,8.1,.500,19.4,35.5,.235
23,Boston University,30,19,11,.633,-0.03,-2.53,,12,6,,,,,,,,2101,2026,,,100.0,.453,.300,.526,52.0,64.1,10.0,7.1,.491,19.2,34.9,.297
24,Bowling Green State,26,10,16,.385,-3.20,0.96,,7,11,,,,,,,,1776,1856,,,100.1,.411,.359,.533,47.6,54.4,9.9,4.2,.490,19.2,32.2,.293
